,SSE,cluster centers
0,0.04737585094092476,"[[0.78549335 0.67990091]
 [0.72333628 0.0689931 ]
 [0.41576231 0.64176988]]"
1,0.04737585094092476,"[[0.78549335 0.67990091]
 [0.72333628 0.0689931 ]
 [0.41576231 0.64176988]]"
2,0.04627050379922125,"[[0.71669664 0.03111163]
 [0.67370814 0.62378081]
 [0.28163138 0.67748702]]"
3,0.041455127250769344,"[[0.61944898 0.00618683]
 [0.72873235 0.5969443 ]
 [0.34790375 0.67555652]]"
4,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
5,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
6,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
7,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
8,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
9,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
10,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
11,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
12,0.030594381293382825,"[[0.64602322 0.05354827]
 [0.37091839 0.89209072]
 [0.40203014 0.57552065]]"
13,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
14,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
15,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
16,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
17,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
18,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
19,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
20,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
21,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
22,0.03023690316273175,"[[0.62389598 0.07459366]
 [0.41303987 0.90751917]
 [0.25441462 0.62739661]]"
23,0.027019310370217896,"[[0.56011638 0.07075711]
 [0.49550879 0.78901873]
 [0.32553315 0.59390058]]"
24,0.027019310370217896,"[[0.56011638 0.07075711]
 [0.49550879 0.78901873]
 [0.32553315 0.59390058]]"
25,0.027019310370217896,"[[0.56011638 0.07075711]
 [0.49550879 0.78901873]
 [0.32553315 0.59390058]]"
